time;copter_pitch_angle;copter_pitch_angle_kal;copter_pitch_angle_komp;copter_roll_angle;copter_roll_angle_kal;copter_roll_angle_komp;speed_test;
9,184;-1,1875;-1,1659027338027954;-1,171464443206787;-31,375;-31,37567901611328;-31,38594627380371;100;
9,186;-1,1875;-1,1649210453033447;-1,1705597639083862;-31,375;-31,377967834472656;-31,387414932250977;100;
9,189;-1,1875;-1,1649210453033447;-1,1705597639083862;-31,375;-31,377967834472656;-31,387414932250977;100;
9,191;-1,1875;-1,1649210453033447;-1,1705597639083862;-31,375;-31,377967834472656;-31,387414932250977;100;
9,193;-1,1875;-1,1649210453033447;-1,1705597639083862;-31,375;-31,377967834472656;-31,387414932250977;100;
9,195;-1,1875;-1,1649210453033447;-1,1705597639083862;-31,375;-31,377967834472656;-31,387414932250977;100;
9,197;-1,1875;-1,1609690189361572;-1,1677873134613037;-31,375;-31,374670028686523;-31,385208129882812;100;
9,2;-1,1875;-1,1609690189361572;-1,1677873134613037;-31,375;-31,374670028686523;-31,385208129882812;100;
9,202;-1,1875;-1,1612133979797363;-1,1682623624801636;-31,375;-31,37478256225586;-31,385475158691406;100;
9,205;-1,1875;-1,1612133979797363;-1,1682623624801636;-31,375;-31,37478256225586;-31,385475158691406;100;
9,208;-1,1875;-1,1612133979797363;-1,1682623624801636;-31,375;-31,37478256225586;-31,385475158691406;100;
9,211;-1,1875;-1,1612133979797363;-1,1682623624801636;-31,375;-31,37478256225586;-31,385475158691406;100;
9,213;-1,1875;-1,1612133979797363;-1,1682623624801636;-31,375;-31,37478256225586;-31,385475158691406;100;
9,215;-1,1875;-1,1612133979797363;-1,1682623624801636;-31,375;-31,37478256225586;-31,385475158691406;100;
9,217;-1,1875;-1,1632587909698486;-1,1702388525009155;-31,375;-31,374610900878906;-31,38511085510254;100;
9,22;-1,1875;-1,1632587909698486;-1,1702388525009155;-31,375;-31,374610900878906;-31,38511085510254;100;
9,222;-1,1875;-1,1632587909698486;-1,1702388525009155;-31,375;-31,374610900878906;-31,38511085510254;100;
9,225;-1,1875;-1,1632587909698486;-1,1702388525009155;-31,375;-31,374610900878906;-31,38511085510254;100;
9,227;-1,1875;-1,1627460718154907;-1,1700353622436523;-31,375;-31,370729446411133;-31,382511138916016;100;
9,229;-1,1875;-1,1627460718154907;-1,1700353622436523;-31,375;-31,370729446411133;-31,382511138916016;100;
9,232;-1,1875;-1,1627460718154907;-1,1700353622436523;-31,375;-31,370729446411133;-31,382511138916016;100;
9,234;-1,1875;-1,1627460718154907;-1,1700353622436523;-31,375;-31,370729446411133;-31,382511138916016;100;
9,236;-1,1875;-1,1627460718154907;-1,1700353622436523;-31,375;-31,370729446411133;-31,382511138916016;100;
9,238;-1,1875;-1,1678825616836548;-1,1732592582702637;-31,375;-31,378093719482422;-31,387516021728516;100;
9,24;-1,1875;-1,1678825616836548;-1,1732592582702637;-31,375;-31,378093719482422;-31,387516021728516;100;
9,243;-1,1875;-1,1678825616836548;-1,1732592582702637;-31,375;-31,378093719482422;-31,387516021728516;100;
9,245;-1,1875;-1,1678825616836548;-1,1732592582702637;-31,375;-31,378093719482422;-31,387516021728516;100;
9,248;-1,1875;-1,1680015325546265;-1,1726433038711548;-31,375;-31,37908172607422;-31,388568878173828;100;
9,25;-1,1875;-1,1680015325546265;-1,1726433038711548;-31,375;-31,37908172607422;-31,388568878173828;100;
9,253;-1,1875;-1,1657663583755493;-1,1707556247711182;-31,375;-31,380367279052734;-31,389612197875977;100;
9,256;-1,1875;-1,1657663583755493;-1,1707556247711182;-31,375;-31,380367279052734;-31,389612197875977;100;
9,259;-1,1875;-1,1657663583755493;-1,1707556247711182;-31,375;-31,380367279052734;-31,389612197875977;100;
9,261;-1,1875;-1,1657663583755493;-1,1707556247711182;-31,375;-31,380367279052734;-31,389612197875977;100;
9,263;-1,1875;-1,1657663583755493;-1,1707556247711182;-31,375;-31,380367279052734;-31,389612197875977;100;
9,265;-1,1875;-1,1657663583755493;-1,1707556247711182;-31,375;-31,380367279052734;-31,389612197875977;100;
9,267;-1,1875;-1,1682913303375244;-1,1725670099258423;-31,375;-31,380678176879883;-31,389806747436523;100;
9,269;-1,1875;-1,1682913303375244;-1,1725670099258423;-31,375;-31,380678176879883;-31,389806747436523;100;
9,271;-1,1875;-1,1682913303375244;-1,1725670099258423;-31,375;-31,380678176879883;-31,389806747436523;100;
9,274;-1,1875;-1,1682913303375244;-1,1725670099258423;-31,375;-31,380678176879883;-31,389806747436523;100;
9,276;-1,1875;-1,1682913303375244;-1,1725670099258423;-31,375;-31,380678176879883;-31,389806747436523;100;
9,278;-1,1875;-1,1654077768325806;-1,170414686203003;-31,375;-31,378576278686523;-31,387939453125;100;
9,28;-1,1875;-1,1654077768325806;-1,170414686203003;-31,375;-31,378576278686523;-31,387939453125;100;
9,282;-1,1875;-1,1654077768325806;-1,170414686203003;-31,375;-31,378576278686523;-31,387939453125;100;
9,284;-1,1875;-1,1654077768325806;-1,170414686203003;-31,375;-31,378576278686523;-31,387939453125;100;
9,286;-1,1875;-1,1674062013626099;-1,1714446544647217;-31,375;-31,3792781829834;-31,388389587402344;100;
9,289;-1,1875;-1,1674062013626099;-1,1714446544647217;-31,375;-31,3792781829834;-31,388389587402344;100;
9,292;-1,1875;-1,1674062013626099;-1,1714446544647217;-31,375;-31,3792781829834;-31,388389587402344;100;
