time;copter_roll_angle;kd;ki;kp;REF_ROLL_ANGLE;SS;
1,083;-31,125;12;0,000009999999747378752;2,5;0;0;
1,086;-31,125;12;0,000009999999747378752;2,5;0;0;
1,089;-31,125;12;0,000009999999747378752;2,5;0;0;
1,091;-31,125;12;0,000009999999747378752;2,5;0;0;
1,094;-31,125;12;0,000009999999747378752;2,5;0;0;
1,096;-31,125;12;0,000009999999747378752;2,5;0;0;
1,099;-31,125;12;0,000009999999747378752;2,5;0;0;
1,102;-31,125;12;0,000009999999747378752;2,5;0;0;
1,105;-31,125;12;0,000009999999747378752;2,5;0;0;
1,107;-31,125;12;0,000009999999747378752;2,5;0;0;
1,11;-31,125;12;0,000009999999747378752;2,5;0;0;
1,112;-31,125;12;0,000009999999747378752;2,5;0;0;
1,115;-31,125;12;0,000009999999747378752;2,5;0;0;
1,118;-31,125;12;0,000009999999747378752;2,5;0;0;
1,12;-31,125;12;0,000009999999747378752;2,5;0;0;
1,123;-31,125;12;0,000009999999747378752;2,5;0;0;
1,126;-31,125;12;0,000009999999747378752;2,5;0;0;
1,129;-31,125;12;0,000009999999747378752;2,5;0;0;
1,132;-31,125;12;0,000009999999747378752;2,5;0;0;
1,134;-31,125;12;0,000009999999747378752;2,5;0;0;
1,137;-31,125;12;0,000009999999747378752;2,5;0;0;
1,14;-31,125;12;0,000009999999747378752;2,5;0;0;
1,143;-31,125;12;0,000009999999747378752;2,5;0;0;
1,145;-31,125;12;0,000009999999747378752;2,5;0;0;
1,148;-31,125;12;0,000009999999747378752;2,5;0;0;
1,151;-31,125;12;0,000009999999747378752;2,5;0;0;
1,155;-31,125;12;0,000009999999747378752;2,5;0;0;
1,158;-31,125;12;0,000009999999747378752;2,5;0;0;
1,16;-31,125;12;0,000009999999747378752;2,5;0;0;
1,163;-31,125;12;0,000009999999747378752;2,5;0;0;
1,166;-31,125;12;0,000009999999747378752;2,5;0;0;
1,168;-31,125;12;0,000009999999747378752;2,5;0;0;
1,171;-31,125;12;0,000009999999747378752;2,5;0;0;
1,174;-31,125;12;0,000009999999747378752;2,5;0;0;
1,177;-31,125;12;0,000009999999747378752;2,5;0;0;
1,179;-31,125;12;0,000009999999747378752;2,5;0;0;
1,183;-31,125;12;0,000009999999747378752;2,5;0;0;
1,185;-31,125;12;0,000009999999747378752;2,5;0;0;
1,188;-31,125;12;0,000009999999747378752;2,5;0;0;
1,19;-31,125;12;0,000009999999747378752;2,5;0;0;
1,193;-31,125;12;0,000009999999747378752;2,5;0;0;
1,196;-31,125;12;0,000009999999747378752;2,5;0;0;
1,199;-31,125;12;0,000009999999747378752;2,5;0;0;
1,202;-31,125;12;0,000009999999747378752;2,5;0;0;
1,205;-31,125;12;0,000009999999747378752;2,5;0;0;
1,208;-31,125;12;0,000009999999747378752;2,5;0;0;
1,21;-31,125;12;0,000009999999747378752;2,5;0;0;
1,212;-31,125;12;0,000009999999747378752;2,5;0;0;
1,215;-31,125;12;0,000009999999747378752;2,5;0;0;
1,217;-31,125;12;0,000009999999747378752;2,5;0;0;
1,22;-31,125;12;0,000009999999747378752;2,5;0;0;
1,223;-31,125;12;0,000009999999747378752;2,5;0;0;
1,226;-31,125;12;0,000009999999747378752;2,5;0;0;
1,229;-31,125;12;0,000009999999747378752;2,5;0;0;
1,231;-31,125;12;0,000009999999747378752;2,5;0;0;
1,234;-31,125;12;0,000009999999747378752;2,5;0;0;
1,237;-31,125;12;0,000009999999747378752;2,5;0;0;
1,24;-31,125;12;0,000009999999747378752;2,5;0;0;
1,242;-31,125;12;0,000009999999747378752;2,5;0;0;
1,245;-31,125;12;0,000009999999747378752;2,5;0;0;
1,247;-31,125;12;0,000009999999747378752;2,5;0;0;
1,25;-31,125;12;0,000009999999747378752;2,5;0;0;
1,252;-31,125;12;0,000009999999747378752;2,5;0;0;
1,255;-31,125;12;0,000009999999747378752;2,5;0;0;
1,258;-31,125;12;0,000009999999747378752;2,5;0;0;
1,26;-31,125;12;0,000009999999747378752;2,5;0;0;
1,263;-31,125;12;0,000009999999747378752;2,5;0;0;
1,266;-31,125;12;0,000009999999747378752;2,5;0;0;
1,268;-31,125;12;0,000009999999747378752;2,5;0;0;
1,271;-31,125;12;0,000009999999747378752;2,5;0;0;
1,274;-31,125;12;0,000009999999747378752;2,5;0;0;
1,276;-31,125;12;0,000009999999747378752;2,5;0;0;
1,279;-31,125;12;0,000009999999747378752;2,5;0;0;
1,281;-31,125;12;0,000009999999747378752;2,5;0;0;
1,284;-31,125;12;0,000009999999747378752;2,5;0;0;
1,287;-31,125;12;0,000009999999747378752;2,5;0;0;
1,29;-31,125;12;0,000009999999747378752;2,5;0;0;
