time,ac_x,ac_x_f,ac_y,ac_y_f,
7.578,0.07000000029802322,0.00068257050588727,3.0999999046325684,3.00199818611145,
7.588,-0.2199999988079071,-0.15379522740840912,3.240000009536743,3.1685993671417236,
7.598,0.23999999463558197,0.12186142802238464,3.200000047683716,3.190579891204834,
7.608,0.44999998807907104,0.3515584170818329,3.549999952316284,3.442173957824707,
7.618,0.49000000953674316,0.44846752285957336,3.700000047683716,3.622652292251587,
7.628,0.3400000035762787,0.37254026532173157,3.890000104904175,3.809795618057251,
7.638,0.5299999713897705,0.48276206851005554,4.139999866485596,4.040938854217529,
7.648,0.8600000143051147,0.7468286156654358,5.730000019073486,5.2232818603515625,
7.658,0.6200000047683716,0.6580485701560974,5.460000038146973,5.388984680175781,
7.668,0.9800000190734863,0.8834145665168762,5.139999866485596,5.214695453643799,
7.678,0.46000000834465027,0.5870243906974792,6.699999809265137,6.254408359527588,
7.688,1.1100000143051147,0.9531072974205017,5.320000171661377,5.600322723388672,
7.698,2.5299999713897705,2.056932210922241,7.159999847412109,6.692096710205078,
7.708,1.8300000429153442,1.8980796337127686,7.940000057220459,7.565629005432129,
7.718,1.2599999904632568,1.4514238834381104,5.980000019073486,6.455688953399658,
7.728,-0.25999999046325684,0.2534271776676178,1.4800000190734863,2.9727067947387695,
7.738,-0.3700000047683716,-0.18297183513641357,2.299999952316284,2.501811981201172,
7.748,1.0399999618530273,0.6731084585189819,3.559999942779541,3.2425436973571777,
7.758,2.2200000286102295,1.7559325695037842,4.880000114440918,4.388762950897217,
7.768,1.4299999475479126,1.5277796983718872,4.119999885559082,4.200628757476807,
7.778,0.9200000166893005,1.102333903312683,3.450000047683716,3.6751885414123535,
7.788,0.75,0.8557001948356628,3.319999933242798,3.4265565872192383,
7.798,2.5999999046325684,2.0767099857330322,4.21999979019165,3.981966972351074,
7.809,1.909999966621399,1.9600130319595337,5.130000114440918,4.785590171813965,
7.818,0.800000011920929,1.1480039358139038,4.409999847412109,4.522676944732666,
7.828,-0.3100000023841858,0.1274011880159378,3.140000104904175,3.5548031330108643,
7.838,0.5199999809265137,0.40222033858299255,4.670000076293945,4.3354411125183105,
7.848,0.8100000023841858,0.687666118144989,4.690000057220459,4.583632469177246,
7.858,1.100000023841858,0.9762998223304749,3.9800000190734863,4.161089897155762,
7.868,0.6299999952316284,0.7338899374008179,4.599999904632568,4.468327045440674,
7.878,0.17000000178813934,0.3391669988632202,4.610000133514404,4.567498207092285,
7.888,0.6800000071525574,0.5777500867843628,4.079999923706055,4.226249694824219,
7.898,1.6100000143051147,1.3003250360488892,3.9000000953674316,3.9978749752044678,
7.908,1.399999976158142,1.3700975179672241,3.990000009536743,3.9923624992370605,
7.918,0.9599999785423279,1.0830292701721191,3.7300000190734863,3.808708906173706,
7.928,1.409999966621399,1.3119087219238281,3.7699999809265137,3.7816126346588135,
7.939,1.4900000095367432,1.436572551727295,3.819999933242798,3.808483839035034,
7.948,1.649999976158142,1.585971713066101,3.25,3.4175450801849365,
7.958,1.809999942779541,1.7427915334701538,3.0799999237060547,3.1812634468078613,
7.968,1.4800000190734863,1.5588374137878418,2.880000114440918,2.970379114151001,
7.978,1.4700000286102295,1.4966511726379395,2.759999990463257,2.8231136798858643,
7.988,2.4800000190734863,2.184995412826538,2.9600000381469727,2.9189341068267822,
7.998,2.2699999809265137,2.2444984912872314,2.9100000858306885,2.912680149078369,
8.008,2.009999990463257,2.0803494453430176,2.509999990463257,2.6308040618896484,
8.018,2.3499999046325684,2.2691047191619873,2.069999933242798,2.238241195678711,
8.028,2.630000114440918,2.521731376647949,2.690000057220459,2.5544724464416504,
8.038,2.569999933242798,2.5555193424224854,2.450000047683716,2.481341600418091,
8.048,2.809999942779541,2.7336559295654297,2.1600000858306885,2.2564024925231934,
8.058,2.7799999713897705,2.766096830368042,2.0199999809265137,2.0909206867218018,
8.068,2.740000009536743,2.747828960418701,1.8700000047683716,1.9362761974334717,
